65,1488000.870,6392978.279,4.057,-39.627,1488012.662,6392980.385,376.094,39.825
66,1488004.772,6392938.492,3.735,-39.947,1488016.075,6392940.692,375.220,40.165
67,1488008.302,6392898.600,3.318,-39.836,1488019.044,6392900.885,376.782,39.992
68,1488011.384,6392858.911,2.837,-39.541,1488021.512,6392861.049,375.784,39.583
69,1488013.976,6392819.222,2.337,-39.836,1488023.441,6392821.299,376.449,39.886
70,1488016.044,6392779.143,1.788,-40.321,1488025.130,6392781.348,377.052,40.373
71,1488017.531,6392738.643,1.178,-40.678,1488026.372,6392741.112,377.136,40.703
72,1488018.382,6392697.827,0.515,-40.953,1488026.892,6392700.502,378.414,40.932
73,1488018.555,6392656.617,-0.170,-41.466,1488026.799,6392659.462,377.274,41.478
74,1488018.042,6392614.951,-0.856,-41.865,1488026.279,6392618.020,377.837,41.869
75,1488016.844,6392572.860,-1.538,-42.316,1488025.203,6392576.150,376.770,42.368
76,1488014.972,6392530.442,-2.206,-42.520,1488023.515,6392533.936,378.740,42.618
77,1488012.446,6392488.023,-2.845,-42.318,1488021.122,6392491.491,377.908,42.414
78,1488009.286,6392445.812,-3.471,-42.103,1488017.949,6392449.278,378.377,42.261
79,1488005.515,6392403.890,-4.069,-41.741,1488014.276,6392407.178,378.564,41.898
80,1488001.135,6392362.129,-4.688,-41.781,1488010.249,6392365.451,377.786,42.069
81,1487996.158,6392320.455,-5.263,-41.568,1488005.889,6392323.754,378.782,41.902
82,1487990.616,6392279.006,-5.819,-41.330,1488000.991,6392282.228,378.371,41.702
83,1487984.501,6392237.618,-6.409,-41.445,1487995.333,6392240.846,378.227,41.904
84,1487977.777,6392195.953,-7.038,-41.885,1487988.895,6392199.408,378.821,42.538
85,1487970.483,6392154.177,-7.549,-41.666,1487981.863,6392157.683,378.820,42.301
86,1487962.643,6392112.406,-8.130,-41.876,1487974.274,6392115.815,379.467,42.650
87,1487954.217,6392070.386,-8.719,-42.163,1487966.092,6392073.773,379.152,43.092
88,1487945.246,6392028.263,-9.221,-42.082,1487957.280,6392031.677,373.036,43.082
89,1487935.781,6391986.235,-9.708,-41.973,1487947.855,6391989.665,372.980,43.112
