58,1487978.038,6393250.512,6.573,-38.253,1487975.462,6393251.902,370.311,6.567,-38.252
59,1487984.434,6393212.246,6.216,-38.256,1487982.030,6393213.700,372.408,6.223,-38.206
60,1487990.431,6393173.801,5.773,-38.611,1487988.227,6393175.325,372.657,5.767,-38.604
61,1487996.000,6393135.032,5.362,-38.903,1487994.089,6393136.692,373.356,5.349,-38.906
62,1488001.210,6393096.052,5.054,-39.034,1487999.488,6393097.944,374.258,5.078,-39.005
63,1488005.979,6393056.865,4.481,-39.317,1488004.368,6393058.997,374.939,4.476,-39.321
64,1488010.186,6393017.490,3.930,-39.410,1488008.821,6393019.819,375.142,3.930,-39.384
65,1488013.831,6392977.961,3.357,-39.624,1488012.662,6392980.385,375.106,3.338,-39.612
66,1488016.990,6392938.233,2.956,-39.811,1488016.075,6392940.692,376.531,2.957,-39.802
67,1488019.729,6392898.344,2.520,-39.943,1488019.044,6392900.885,376.902,2.533,-39.954
68,1488021.959,6392858.451,1.936,-39.821,1488021.512,6392861.049,376.107,1.898,-39.780
69,1488023.781,6392818.546,1.705,-39.965,1488023.441,6392821.299,376.654,1.729,-39.936
70,1488025.240,6392778.425,1.210,-40.254,1488025.130,6392781.348,377.055,1.232,-40.231
71,1488026.080,6392737.970,0.466,-40.632,1488026.372,6392741.112,377.288,0.445,-40.606
72,1488026.266,6392697.076,-0.098,-41.133,1488026.892,6392700.502,377.034,-0.119,-41.121
73,1488025.987,6392655.692,-0.465,-41.612,1488026.799,6392659.462,377.791,-0.440,-41.622
74,1488025.205,6392613.953,-1.101,-41.844,1488026.279,6392618.020,378.081,-1.095,-41.813
75,1488023.743,6392571.897,-1.827,-42.245,1488025.203,6392576.150,378.349,-1.845,-42.242
76,1488021.635,6392529.492,-2.393,-42.542,1488023.515,6392533.936,377.116,-2.379,-42.594
77,1488018.881,6392487.120,-3.119,-42.178,1488021.122,6392491.491,377.793,-3.131,-42.142
78,1488015.447,6392445.001,-3.753,-42.037,1488017.949,6392449.278,377.870,-3.778,-42.045
79,1488011.491,6392403.132,-4.161,-41.677,1488014.276,6392407.178,377.245,-4.190,-41.613
80,1488007.260,6392361.374,-4.305,-41.816,1488010.249,6392365.451,379.155,-4.248,-41.842
81,1488002.588,6392319.677,-5.043,-41.555,1488005.889,6392323.754,378.686,-5.050,-41.516
82,1487997.203,6392278.115,-5.730,-41.546,1488000.991,6392282.228,378.915,-5.730,-41.523
83,1487991.121,6392236.516,-6.438,-41.629,1487995.333,6392240.846,378.679,-6.455,-41.595
84,1487984.411,6392194.735,-6.988,-41.910,1487988.895,6392199.408,379.111,-6.989,-41.926
85,1487977.144,6392152.820,-7.549,-41.897,1487981.863,6392157.683,379.023,-7.546,-41.877
86,1487969.292,6392110.890,-8.160,-41.940,1487974.274,6392115.815,379.636,-8.152,-41.913
87,1487960.778,6392068.849,-8.870,-42.119,1487966.092,6392073.773,379.380,-8.883,-42.124
88,1487951.607,6392026.724,-9.476,-42.107,1487957.280,6392031.677,373.641,-9.480,-42.121
89,1487941.841,6391984.750,-10.060,-41.817,1487947.855,6391989.665,373.753,-10.076,-41.802
90,1487931.558,6391943.067,-10.510,-41.527,1487937.817,6391947.911,376.807,-10.513,-41.515
91,1487920.827,6391901.683,-10.956,-41.216,1487927.316,6391906.388,380.101,-10.941,-41.189
92,1487909.560,6391860.545,-11.581,-41.037,1487916.388,6391865.124,380.440,-11.590,-41.058
93,1487897.701,6391819.761,-12.141,-40.508,1487904.922,6391824.059,380.954,-12.140,-40.472
94,1487885.267,6391779.398,-12.729,-40.196,1487892.677,6391783.339,380.810,-12.741,-40.162
95,1487872.291,6391739.250,-13.226,-40.076,1487879.858,6391742.992,381.630,-13.255,-40.150
